# JLPT N5 Vocabulary — Import File for JapanE 学
# Format: Kanji [Tab] Reading [Tab] Meaning [Tab] Example Sentence
# Lines starting with # are ignored
# ─────────────────────────────────────────────────────────────────

# ── Numbers ───────────────────────────────────────────────────────
一	いち	one	一つのりんご。 One apple.
いる	いる	there is (animate)	猫がいます。 There is a cat.

# ── Adjectives (い-adj) ───────────────────────────────────────────
大きい	おおきい	big / large	大きい犬です。 It is a big dog.
小さい	ちいさい	small	小さい猫です。 It is a small cat.
長い	ながい	long	この道は長いです。 This road is long.
短い	みじかい	short	この鉛筆は短いです。 This pencil is short.
高い	たかい	tall / expensive	この山は高いです。 This mountain is tall.
低い	ひくい	low / short (height)	この建物は低い。 This building is low.
広い	ひろい	wide / spacious	公園は広いです。 The park is spacious.
狭い	せまい	narrow / small (space)	この部屋は狭いです。 This room is small.
新しい	あたらしい	new	新しい靴を買いました。 I bought new shoes.
古い	ふるい	old (things)	古い本です。 It is an old book.
若い	わかい	young	彼は若いです。 He is young.
速い	はやい	fast	この車は速いです。 This car is fast.
遅い	おそい	slow / late	電車が遅いです。 The train is late.
早い	はやい	early	今日は早く起きました。 I woke up early today.
暑い	あつい	hot (weather)	夏は暑いです。 Summer is hot.
寒い	さむい	cold (weather)	冬は寒いです。 Winter is cold.
熱い	あつい	hot (to touch)	お湯が熱いです。 The hot water is hot.
冷たい	つめたい	cold (to touch)	水が冷たい。 The water is cold.
いい / 良い	いい / よい	good / nice	天気がいいです。 The weather is nice.
悪い	わるい	bad	天気が悪いです。 The weather is bad.
多い	おおい	many / much	人が多いです。 There are many people.
少ない	すくない	few / little	お金が少ないです。 I have little money.
難しい	むずかしい	difficult	日本語は難しいです。 Japanese is difficult.
易しい	やさしい	easy	この問題は易しいです。 This problem is easy.
面白い	おもしろい	interesting / funny	この映画は面白いです。 This movie is interesting.
楽しい	たのしい	fun / enjoyable	パーティーは楽しいです。 The party is fun.
忙しい	いそがしい	busy	今日は忙しいです。 I am busy today.
眠い	ねむい	sleepy	眠いです。 I am sleepy.
痛い	いたい	painful	頭が痛いです。 My head hurts.
美味しい	おいしい	delicious	この料理は美味しいです。 This dish is delicious.
まずい	まずい	bad-tasting	この食べ物はまずい。 This food tastes bad.
嬉しい	うれしい	happy / glad	会えて嬉しいです。 I am glad to see you.
悲しい	かなしい	sad	悲しい話です。 It is a sad story.
怖い	こわい	scary / afraid	この映画は怖いです。 This movie is scary.
白い	しろい	white	白い猫がいます。 There is a white cat.
黒い	くろい	black	黒い犬です。 It is a black dog.
赤い	あかい	red	赤いりんごです。 It is a red apple.
青い	あおい	blue / green (nature)	青い空です。 It is a blue sky.
黄色い	きいろい	yellow	黄色い花です。 It is a yellow flower.

# ── Adjectives (な-adj) ───────────────────────────────────────────
好き	すき	like / fond of	音楽が好きです。 I like music.
嫌い	きらい	dislike	野菜が嫌いです。 I dislike vegetables.
上手	じょうず	good at / skilled	料理が上手です。 I am good at cooking.
下手	へた	bad at / unskilled	歌が下手です。 I am bad at singing.
有名	ゆうめい	famous	有名な俳優です。 He is a famous actor.
親切	しんせつ	kind / kindness	彼は親切です。 He is kind.
丁寧	ていねい	polite	丁寧な人です。 He is a polite person.
暇	ひま	free time / not busy	今日は暇です。 I am free today.
便利	べんり	convenient	このアプリは便利です。 This app is convenient.
大丈夫	だいじょうぶ	okay / all right	大丈夫ですか。 Are you okay?
大切	たいせつ	important / precious	時間は大切です。 Time is precious.
必要	ひつよう	necessary	水は必要です。 Water is necessary.
静か	しずか	quiet	図書館は静かです。 The library is quiet.
賑やか	にぎやか	lively / bustling	渋谷は賑やかです。 Shibuya is lively.
元気	げんき	healthy / energetic	元気ですか。 Are you well?
きれい	きれい	clean / pretty	この花はきれいです。 This flower is pretty.
おかしい	おかしい	strange / funny	おかしい話。 A strange story.

# ── Places ────────────────────────────────────────────────────────
学校	がっこう	school	毎日学校に行きます。 I go to school every day.
大学	だいがく	university	大学で英語を勉強します。 I study English at university.
病院	びょういん	hospital	病院に行きます。 I go to the hospital.
銀行	ぎんこう	bank	銀行でお金を下ろします。 I withdraw money at the bank.
駅	えき	train station	駅まで歩きます。 I walk to the station.
空港	くうこう	airport	空港まで電車で行きます。 I go to the airport by train.
店	みせ	shop / store	あの店は安いです。 That store is cheap.
スーパー	スーパー	supermarket	スーパーで野菜を買います。 I buy vegetables at the supermarket.
レストラン	レストラン	restaurant	レストランで食べます。 I eat at a restaurant.
図書館	としょかん	library	図書館で勉強します。 I study at the library.
公園	こうえん	park	公園で散歩します。 I take a walk in the park.
部屋	へや	room	私の部屋は小さいです。 My room is small.
家	いえ / うち	house / home	家に帰ります。 I go home.
会社	かいしゃ	company	父は会社に行きます。 My father goes to work.
郵便局	ゆうびんきょく	post office	手紙を郵便局で出します。 I send a letter at the post office.
トイレ	トイレ	toilet / restroom	トイレはどこですか。 Where is the restroom?
玄関	げんかん	entrance / front door	玄関で靴を脱ぎます。 I take off my shoes at the entrance.

# ── Food & Drink ──────────────────────────────────────────────────
ご飯	ごはん	rice / meal	ご飯を食べます。 I eat rice.
パン	パン	bread	朝はパンを食べます。 I eat bread in the morning.
肉	にく	meat	肉が好きです。 I like meat.
魚	さかな	fish	魚を料理します。 I cook fish.
野菜	やさい	vegetables	野菜は体にいいです。 Vegetables are good for your body.
果物	くだもの	fruit	果物が好きです。 I like fruit.
水	みず	water	水を飲みます。 I drink water.
お茶	おちゃ	tea (Japanese)	お茶を一杯どうぞ。 Please have a cup of tea.
コーヒー	コーヒー	coffee	毎朝コーヒーを飲みます。 I drink coffee every morning.
牛乳	ぎゅうにゅう	milk	牛乳を飲みます。 I drink milk.
酒	さけ	alcohol / sake	お酒が好きですか。 Do you like alcohol?
卵	たまご	egg	卵を食べます。 I eat an egg.
りんご	りんご	apple	りんごが好きです。 I like apples.
みかん	みかん	mandarin orange	みかんをたくさん食べました。 I ate many mandarin oranges.
砂糖	さとう	sugar	コーヒーに砂糖を入れます。 I put sugar in my coffee.
塩	しお	salt	料理に塩を入れます。 I put salt in my food.
醤油	しょうゆ	soy sauce	醤油をかけます。 I put on soy sauce.

# ── Clothing & Body ───────────────────────────────────────────────
服	ふく	clothes	新しい服を買いました。 I bought new clothes.
靴	くつ	shoes	靴を履きます。 I put on shoes.
帽子	ぼうし	hat / cap	帽子をかぶります。 I wear a hat.
眼鏡	めがね	glasses	眼鏡をかけます。 I wear glasses.
頭	あたま	head	頭が痛いです。 My head hurts.
顔	かお	face	顔を洗います。 I wash my face.
目	め	eye	目が大きいです。 She has big eyes.
耳	みみ	ear	耳で音を聞きます。 I listen with my ears.
口	くち	mouth	口を開けてください。 Please open your mouth.
鼻	はな	nose	鼻が長いです。 His nose is long.
手	て	hand	手を洗います。 I wash my hands.
足	あし	foot / leg	足が痛いです。 My leg hurts.

# ── Transportation ────────────────────────────────────────────────
電車	でんしゃ	train	電車で行きます。 I go by train.
バス	バス	bus	バスに乗ります。 I ride the bus.
タクシー	タクシー	taxi	タクシーを呼びます。 I call a taxi.
飛行機	ひこうき	airplane	飛行機で旅行します。 I travel by airplane.
車	くるま	car	車で来ました。 I came by car.
自転車	じてんしゃ	bicycle	自転車で学校に行きます。 I go to school by bicycle.
地下鉄	ちかてつ	subway	地下鉄に乗ります。 I ride the subway.

# ── Nature & Weather ──────────────────────────────────────────────
天気	てんき	weather	今日の天気はどうですか。 How is the weather today?
晴れ	はれ	sunny / clear	今日は晴れです。 Today is sunny.
雨	あめ	rain	雨が降っています。 It is raining.
雪	ゆき	snow	雪が降っています。 It is snowing.
風	かぜ	wind	強い風が吹いています。 A strong wind is blowing.
空	そら	sky	青い空です。 The sky is blue.
山	やま	mountain	富士山は高いです。 Mt. Fuji is tall.
川	かわ	river	川で魚を釣ります。 I fish in the river.
海	うみ	sea / ocean	夏に海に行きます。 I go to the sea in summer.
木	き	tree	公園に木があります。 There are trees in the park.
花	はな	flower	きれいな花ですね。 What a beautiful flower.
春	はる	spring	春は暖かいです。 Spring is warm.
夏	なつ	summer	夏は暑いです。 Summer is hot.
秋	あき	autumn	秋は紅葉がきれいです。 Autumn leaves are beautiful.
冬	ふゆ	winter	冬は寒いです。 Winter is cold.

# ── Objects / Things ──────────────────────────────────────────────
本	ほん	book	本を読みます。 I read a book.
雑誌	ざっし	magazine	雑誌を買いました。 I bought a magazine.
新聞	しんぶん	newspaper	新聞を読みます。 I read the newspaper.
紙	かみ	paper	紙に書きます。 I write on paper.
鉛筆	えんぴつ	pencil	鉛筆で書きます。 I write with a pencil.
ペン	ペン	pen	ペンを貸してください。 Please lend me a pen.
机	つくえ	desk	机の上に本があります。 There is a book on the desk.
椅子	いす	chair	椅子に座ります。 I sit on a chair.
かばん	かばん	bag	かばんを持ちます。 I carry a bag.
財布	さいふ	wallet / purse	財布をなくしました。 I lost my wallet.
鍵	かぎ	key	鍵をかけます。 I lock the door.
時計	とけい	clock / watch	時計を見ます。 I look at my watch.
写真	しゃしん	photograph	写真を撮ります。 I take a photograph.
地図	ちず	map	地図で場所を確認します。 I check the location on a map.
電話	でんわ	telephone	電話をかけます。 I make a phone call.
携帯	けいたい	mobile phone	携帯で写真を撮ります。 I take a photo with my mobile phone.
テレビ	テレビ	television	テレビを見ます。 I watch television.
パソコン	パソコン	computer	パソコンを使います。 I use a computer.

# ── Question Words ────────────────────────────────────────────────
何	なに / なん	what	何ですか。 What is it?
誰	だれ	who	誰ですか。 Who is it?
どこ	どこ	where	どこに行きますか。 Where are you going?
いつ	いつ	when	いつ来ますか。 When will you come?
どれ	どれ	which one	どれが好きですか。 Which one do you like?
どの	どの	which (+ noun)	どの本が好きですか。 Which book do you like?
どんな	どんな	what kind of	どんな音楽が好きですか。 What kind of music do you like?
どうして	どうして	why	どうして遅いですか。 Why are you late?
なぜ	なぜ	why (formal)	なぜ泣いているの？ Why are you crying?
どうやって	どうやって	how (method)	どうやって行きますか。 How do you get there?
いくら	いくら	how much	これはいくらですか。 How much is this?
いくつ	いくつ	how many	りんごはいくつありますか。 How many apples are there?

# ── Common Expressions & Connectors ──────────────────────────────
そして	そして	and then / and	ご飯を食べて、そして寝ます。 I eat and then sleep.
でも	でも	but / however	行きたいでも、時間がない。 I want to go, but I have no time.
だから	だから	so / therefore	眠いから、寝ます。 I am sleepy, so I will sleep.
もう	もう	already / anymore	もう食べました。 I already ate.
まだ	まだ	still / not yet	まだ終わっていません。 I am not finished yet.
また	また	again	また会いましょう。 Let's meet again.
一緒に	いっしょに	together	一緒に行きましょう。 Let's go together.
ちょっと	ちょっと	a little / a moment	ちょっと待ってください。 Please wait a moment.
たくさん	たくさん	a lot / many	たくさん食べました。 I ate a lot.
少し	すこし	a little / a few	少し分かります。 I understand a little.
全部	ぜんぶ	all / everything	全部食べました。 I ate everything.
本当に	ほんとうに	really / truly	本当にありがとうございます。 Thank you very much indeed.
大体	だいたい	generally / about	大体三十分かかります。 It takes about thirty minutes.
特に	とくに	especially / particularly	特にりんごが好きです。 I especially like apples.
例えば	たとえば	for example	例えば、りんごやみかんです。 For example, apples and oranges.
